"Clay County,  West Virginia", West Virginia
"Clayton County,  Georgia", Georgia
"Clayton County,  Iowa", Iowa
"Clear Creek County,  Colorado", Colorado
"Clearfield County,  Pennsylvania", Pennsylvania
"Clearwater County,  Idaho", Idaho
"Clearwater County,  Minnesota", Minnesota
"Cleburne County,  Alabama", Alabama
"Cleburne County,  Arkansas", Arkansas
"Clermont County,  Ohio", Ohio
"Cleveland County,  Arkansas", Arkansas
"Cleveland County,  North Carolina", North Carolina
"Cleveland County,  Oklahoma", Oklahoma
"Clinch County,  Georgia", Georgia
"Clinton County,  Illinois", Illinois
"Clinton County,  Indiana", Indiana
"Clinton County,  Iowa", Iowa
"Clinton County,  Kentucky", Kentucky
"Clinton County,  Michigan", Michigan
"Clinton County,  Missouri", Missouri
"Clinton County,  New York", New York
"Clinton County,  Ohio", Ohio
"Clinton County,  Pennsylvania", Pennsylvania
"Cloud County,  Kansas", Kansas
"Coahoma County,  Mississippi", Mississippi
"Coal County,  Oklahoma", Oklahoma
"Coamo Municipality,  Puerto Rico", Puerto Rico
"Cobb County,  Georgia", Georgia
"Cochise County,  Arizona", Arizona
"Cochran County,  Texas", Texas
"Cocke County,  Tennessee", Tennessee
"Coconino County,  Arizona", Arizona
"Codington County,  South Dakota", South Dakota
"Coffee County,  Alabama", Alabama
"Coffee County,  Georgia", Georgia
"Coffee County,  Tennessee", Tennessee
"Coffey County,  Kansas", Kansas
"Coke County,  Texas", Texas
"Colbert County,  Alabama", Alabama
"Cole County,  Missouri", Missouri
"Coleman County,  Texas", Texas
"Coles County,  Illinois", Illinois
"Colfax County,  Nebraska", Nebraska
"Colfax County,  New Mexico", New Mexico
"Colleton County,  South Carolina", South Carolina
"Collier County,  Florida", Florida
"Collin County,  Texas", Texas
"Collingsworth County,  Texas", Texas
"Colorado County,  Texas", Texas
"Colquitt County,  Georgia", Georgia
"Columbia County,  Arkansas", Arkansas
"Columbia County,  Florida", Florida
"Columbia County,  Georgia", Georgia
"Columbia County,  New York", New York
"Columbia County,  Oregon", Oregon
"Columbia County,  Pennsylvania", Pennsylvania
"Columbia County,  Washington", Washington
"Columbia County,  Wisconsin", Wisconsin
"Columbiana County,  Ohio", Ohio
"Columbus County,  North Carolina", North Carolina
"Colusa County,  California", California
"Comal County,  Texas", Texas
"Comanche County,  Kansas", Kansas
"Comanche County,  Oklahoma", Oklahoma
"Comanche County,  Texas", Texas
"Comerío Municipality,  Puerto Rico", Puerto Rico
"Concho County,  Texas", Texas
"Concordia Parish,  Louisiana", Louisiana
"Conecuh County,  Alabama", Alabama
"Conejos County,  Colorado", Colorado
"Contra Costa County,  California", California
"Converse County,  Wyoming", Wyoming
"Conway County,  Arkansas", Arkansas
"Cook County,  Georgia", Georgia
"Cook County,  Illinois", Illinois
"Cook County,  Minnesota", Minnesota
"Cooke County,  Texas", Texas
"Cooper County,  Missouri", Missouri
